Reporting Year,Reporting Quarter,County,Reporting Organization,Reporting Organization ID,Total Capacity (Certified),Beginning Census,End Census,Male Census,Female Census,# of Residents Age 66-80,# of Residents  Age 81+,Total Admissions,Total Discharges
2019,4,New York,305 West End Assisted Living,420-S-393,102,53,64,28,36,15,46,19,7
2019,4,Kings,Amber Court of Brooklyn,331-F-284,224,211,215,139,76,124,88,12,8
2019,4,Bronx,Amber Court of Pelham Gardens,020-F-817,200,197,191,97,94,113,77,10,16
2019,4,Suffolk,Amber Court of Smithtown,700-F-945,186,175,181,33,148,45,136,21,15
2019,4,Nassau,Amber Court of Westbury,400-F-331,64,54,54,13,41,26,28,9,9
2019,4,Nassau,Amber Court of Westbury,400-F-325,225,197,201,37,164,41,159,20,15
2019,4,Rockland,Assisted Living at Northern Riverview,620-E-019,105,98,100,46,54,42,21,14,12
2019,4,Suffolk,Atria Bay Shore,700-S-305,116,77,80,18,62,10,69,8,10
2019,4,Westchester,Atria Briarcliff Manor,800-F-996,200,96,86,21,65,14,72,18,13
2019,4,Albany,Atria Crossgate,000-S-009,83,73,72,24,48,15,54,7,9
2019,4,Nassau,Atria Cutter Mill,400-S-328,130,97,91,23,68,9,81,10,16
2019,4,Albany,Atria Delmar Place,000-S-008,106,80,84,30,54,19,64,14,10
2019,4,Suffolk,Atria East Northport,700-F-929,200,143,140,39,101,26,108,10,13
2019,4,Queens,Atria Forest Hills,590-S-313,90,87,83,29,54,16,66,,10
2019,4,Nassau,Atria Glen Cove,400-S-324,128,44,52,17,35,8,43,19,8
2019,4,Albany,Atria Guilderland,000-F-308,120,64,67,16,51,12,53,21,19
2019,4,Suffolk,Atria Huntington,700-F-931,198,105,107,26,81,26,74,18,16
2019,4,Queens,Atria Kew Gardens,590-S-315,175,123,129,40,89,24,100,18,10
2019,4,Nassau,Atria Lynbrook,400-F-326,200,78,70,18,52,10,58,,11
2019,4,Westchester,Atria on the Hudson,800-S-147,185,125,129,42,87,30,99,11,12
2019,4,Nassau,Atria Park of Great Neck,400-S-326,162,132,146,49,97,15,130,30,19
2019,4,Monroe,Atria Penfield,370-F-212,120,93,98,36,62,23,73,19,13
2019,4,Bronx,Atria Riverdale,020-S-001,195,176,175,52,123,35,136,22,22
2019,4,Albany,Atria Shaker,000-S-011,146,91,97,27,70,21,72,14,8
2019,4,Suffolk,Atria South Setauket,700-F-933,200,99,96,21,75,16,77,13,16
2019,4,Nassau,Atria Tanglewood,400-F-306,160,120,127,36,91,14,113,16,8
2019,4,New York,Atria West 86,420-S-389,189,186,181,62,119,39,139,20,25
2019,4,Chemung,Bethany Village,070-E-002,144,112,110,22,88,23,83,13,17
2019,4,Suffolk,Birchwood Suites,700-F-943,95,68,68,29,39,17,44,14,14
2019,4,Queens,Boulevard ALP,590-S-317,239,224,217,80,137,57,159,12,19
2019,4,Suffolk,Braemar Living at Medford,700-F-921,200,197,198,34,164,71,102,10,9
2019,4,Orange,Braemar Living at Wallkill,540-F-036,200,173,175,57,118,47,116,12,12
2019,4,Queens,Brandywine Assisted Living at The Savoy,590-S-305,160,133,145,40,105,39,105,21,9
2019,4,Niagara,"Briarwood Manor, Inc.",500-F-092,160,107,106,26,80,26,72,11,12
2019,4,Rockland,Brightview Lake Tappan,620-F-097,85,68,75,22,53,17,58,16,12
2019,4,Westchester,Brightview Tarrytown,800-F-131,107,76,72,20,52,7,65,7,7
2019,4,Erie,Brompton Heights,240-F-133,200,106,109,25,84,29,76,14,16
2019,4,Bronx,Bronxwood,020-E-004,320,285,270,182,88,169,64,17,32
2019,4,Onondaga,Brookdale Bellevue,520-F-163,91,57,50,16,34,7,41,10,9
2019,4,Schenectady,Brookdale East Niskayuna,650-F-101,52,36,44,14,30,16,28,12,7
2019,4,Onondaga,Brookdale Fayetteville,520-F-145,52,41,41,12,29,11,29,7,7
2019,4,Erie,Brookdale Kenmore,240-S-113,120,105,103,39,64,17,85,15,21
2019,4,Chautauqua,Brookdale Lakewood,060-S-001,100,65,64,12,52,10,51,8,11
2019,4,Onondaga,Brookdale Manlius,520-S-137,86,70,69,28,41,11,58,12,10
2019,4,Niagara,Brookdale Niagara Assisted Living,500-S-002,53,42,45,17,28,9,36,10,10
2019,4,Steuben,Brookdale Painted Post,690-F-044,110,71,73,22,51,19,54,17,15
2019,4,Suffolk,Brookhaven Care Center,700-F-290,182,171,173,113,60,64,11,11,9
2019,4,Kings,Brooklyn Adult Care Center,331-F-278,210,196,193,145,48,101,11,17,20
2019,4,Kings,Brooklyn Boulevard ALP,331-S-014,184,177,179,92,87,97,54,11,11
2019,4,Erie,Brothers of Mercy Sacred Heart Home,240-E-005,70,44,49,8,41,7,42,17,12
2019,4,Onondaga,Buckley Landing Enriched Housing Site #6,520-S-121,90,80,81,11,70,10,71,9,9
2019,4,Queens,Castle Senior Living at Forest Hills,590-F-324,177,163,167,66,101,77,84,17,13
2019,4,Queens,"Central Assisted Living, LLC",590-F-322,186,180,185,110,75,98,22,17,12
2019,4,Essex,Champlain Valley Senior Community,260-F-018,81,67,65,18,47,14,50,14,16
2019,4,Monroe,Cobbs Hill Manor,370-F-242,118,90,88,38,50,47,19,7,7
2019,4,Monroe,Crimson Ridge Gardens,370-F-226,52,42,38,15,23,7,30,8,12
2019,4,Rensselaer,Danforth Adult Care Center  From,600-F-244,80,71,73,23,50,26,41,9,7
2019,4,Erie,Dosberg Manor,240-E-141,96,71,74,20,54,13,58,11,9
2019,4,Erie,Eden Heights,240-F-900,120,87,89,25,64,14,74,20,18
2019,4,Cattaraugus,Eden Heights of Olean,040-F-028,120,91,86,18,68,32,54,10,15
2019,4,Erie,Eden Heights of West Seneca,240-F-848,120,85,92,30,62,20,71,19,11
2019,4,Erie,Elderwood Assisted Living at Hamburg,240-S-117,103,91,93,19,74,12,81,8,7
2019,4,Erie,Elderwood Assisted Living at Tonawanda,240-F-890,120,94,90,14,76,21,68,18,14
2019,4,Erie,Elderwood Assisted Living at West Seneca,240-S-119,128,105,110,20,90,14,96,15,9
2019,4,Niagara,Elderwood Assisted Living at Wheatfield,500-F-103,65,54,53,8,45,9,44,9,7
2019,4,Erie,Elderwood Village at Bassett Park,240-F-898,105,50,77,23,54,11,66,35,9
2019,4,Monroe,Elderwood Village at Fairport,370-F-246,78,36,35,14,21,7,27,8,9
2019,4,Erie,Elderwood Village at Willamsville,240-S-115,110,76,88,24,64,8,79,20,14
2019,4,Queens,Elm York Home for Adults,590-F-319,262,245,240,130,110,115,21,10,15
2019,4,Monroe,Emeritus at the Landing of Brockport,370-S-849,114,75,87,27,60,8,79,16,10
2019,4,Rockland,"Evergreen Court Home for Adults SP, LLC",620-F-078,200,134,131,74,57,51,8,,8
2019,4,Oneida,Focus Senior Living at Utica,510-S-061,110,94,102,60,42,56,9,17,9
2019,4,Chautauqua,Fredonia Place,060-S-003,84,78,76,33,43,12,63,8,12
2019,4,Kings,Garden of Eden Assisted Living Program,331-F-280,202,177,171,100,71,52,18,,11
2019,4,Genesee,Genesee Adult Home,290-F-007,80,70,69,27,42,31,30,,7
2019,4,Erie,Glenwell,240-E-146,120,108,110,28,82,29,77,12,10
2019,4,Monroe,Grande'Vie Senior Living,370-F-250,178,69,62,27,35,19,43,12,19
2019,4,Monroe,Grande'ville Senior Living Community,370-F-230,115,110,101,29,72,14,87,10,19
2019,4,Erie,Greenfield Court,240-S-105,57,53,51,15,36,7,43,7,9
2019,4,Suffolk,Gurwin Jewish Fay J. Lindner Residence,700-S-289,200,143,143,43,100,14,129,7,7
2019,4,Nassau,Harbor House,400-F-305,136,98,101,33,68,28,71,18,17
2019,4,Kings,Harbor View Home for Adults,331-F-282,162,83,83,32,51,30,50,11,11
2019,4,Rensselaer,"Hawthorne Ridge, Inc.",600-E-114,66,63,61,13,48,12,49,9,11
2019,4,Monroe,Heather Heights of Pittsford,370-F-220,120,92,91,35,56,19,71,20,18
2019,4,Monroe,Heathwood Assisted Living at Penfield,370-S-852,151,118,123,36,87,18,104,26,23
2019,4,Erie,Heathwood Assisted Living at Williamsville,240-F-881,128,112,119,29,90,16,102,20,13
2019,4,Dutchess,"Hedgewood ALP, LLC",230-F-082,192,186,186,122,64,86,19,17,17
2019,4,Broome,Hilltop Manor West,030-E-008,98,94,90,14,76,8,80,13,17
2019,4,Monroe,Hilton East Assisted Living,370-F-208,205,145,154,62,92,62,68,25,13
2019,4,Saratoga,Home of the Good Shepherd,640-E-037,42,42,37,13,24,8,29,,7
2019,4,Saratoga,Home of the Good Shepherd at Highpointe,640-E-036,86,75,73,20,53,7,66,9,11
2019,4,Saratoga,Home of the Good Shepherd Saratoga,640-E-042,105,89,96,26,70,20,76,19,14
2019,4,Ontario,Horizons,530-E-051,76,52,52,10,42,19,29,8,8
2019,4,Chautauqua,Hultquist Place,060-E-015,96,94,88,18,70,12,75,,9
2019,4,Broome,Ideal Senior Living Center,030-E-039,70,66,64,24,40,10,53,9,12
2019,4,Schenectady,Ingersoll Place,650-E-007,78,67,68,21,47,10,58,9,8
2019,4,Nassau,Island Assisted Living,400-E-295,200,186,189,92,97,88,61,17,13
2019,4,Ulster,Ivy Lodge,740-F-082,40,33,31,,27,7,24,,7
2019,4,Onondaga,Keepsake Village at Greenpoint,520-F-143,57,53,54,22,32,8,44,8,7
